1	Plan de beneficios en salud financiado con UPC	01
2	Presupuesto máximo	02
3	Prima EPS/EOC, no asegurados SOAT	03
4	Cobertura Póliza SOAT	04
5	Cobertura ARL	05
6	Cobertura ADRES	06
7	Cobertura Salud Pública	07
8	Cobertura entidad territorial, recursos de oferta	08
9	Urgencias población migrante	09
10	Plan complementario en salud	10
11	Plan medicina prepagada	11
12	Otras pólizas en salud	12
13	Cobertura Régimen Especial o Excepción	13
14	Cobertura Fondo Nacional de Salud de las Personas Privadas de la Libertad	14
15	Particular	15
